"DividendStocks","EmergingMarkets","ForeignStocks","MunicipalBonds","NaturalResources","RiskTolerance","USStocks","q1","q2","q3","q4","q5","q6","q7","q8"
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,40,70129000,4,36150000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,2,47,13858000,4,10933000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,81,46829000,4,71127000,2,3
0.15,0.05,0.05,0.35,0.07,0.005,0.08,2,2,92,8050000,2,3726000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,28,98590000,3,61002000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,21,842000,5,58541000,3,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,4,4,65,350000,5,4931000,3,4
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,1,68,63834000,3,19583000,3,4
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,1,93,97849000,4,91624000,3,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,1,24,72734000,1,85104000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,44,54272000,4,65965000,3,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,3,33,99319000,1,50540000,2,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,3,82,99808000,4,96496000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,1,36,69375000,2,54570000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,1,41,60420000,2,41650000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,52,2752000,3,87851000,2,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,2,4,75,71801000,5,70667000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,23,49512000,4,54773000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,1,53,5157000,3,2170000,1,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,4,89,17207000,4,88693000,3,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,54,29987000,3,42314000,2,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,1,45,83340000,2,56579000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,2,36,5743000,1,52767000,2,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,2,57,29585000,2,97359000,1,3
0.08,0.16,0.21,0.15,0.05,0.075,0.35,1,4,69,76565000,5,13398000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,2,56,38339000,5,97406000,2,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,4,4,60,84945000,5,8317000,3,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,3,78,13526000,4,90144000,1,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,3,87,25685000,1,7836000,2,4
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,4,70,66509000,3,22726000,3,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,4,73,22145000,5,99851000,1,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,3,34,6361000,4,99606000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,34,35376000,1,55988000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,4,31,84148000,4,6640000,2,2
0.07,0.05,0.05,0.35,0.05,0.01,0.2,2,2,66,85467000,3,877000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,34,693000,2,68630000,2,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,1,85,21011000,3,81857000,2,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,67,22080000,5,99411000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,38,75178000,2,48595000,3,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,2,43,74475000,4,69306000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,4,55,95434000,2,1262000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,1,80,17953000,1,62554000,1,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,4,1,48,89810000,5,76616000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,50,88465000,3,12031000,3,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,79,99658000,2,25195000,2,4
0.08,0.05,0.11,0.35,0.06,0.025,0.26,4,2,82,38361000,3,4768000,2,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,3,99,70050000,1,59146000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,52,32708000,5,46883000,2,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,1,55,84236000,3,47664000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,1,28,71997000,2,68160000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,4,52,64806000,2,80277000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,3,32,69513000,3,75850000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,1,27,69339000,1,28815000,2,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,2,51,45083000,3,8042000,2,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,2,42,76587000,1,48978000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,2,40,31661000,5,40620000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,64,63875000,4,9424000,2,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,1,60,78745000,2,67723000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,85,60662000,5,62568000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,89,3931000,4,79816000,3,1
0.07,0.22,0.26,0.05,0.05,0.095,0.35,1,1,69,74062000,2,15105000,1,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,2,76,81406000,3,38245000,2,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,1,49,70306000,4,7045000,1,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,3,69,65596000,2,62161000,1,4
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,3,82,54250000,3,47948000,3,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,4,53,78865000,1,17797000,1,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,1,49,39154000,2,90483000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,2,53,16474000,1,80338000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,1,32,54119000,5,42766000,2,4
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,4,60,35408000,1,7076000,3,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,4,79,24011000,4,47833000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,1,28,46828000,2,68095000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,95,12960000,2,24579000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,40,84349000,5,506000,2,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,3,55,6954000,4,66841000,1,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,2,74,18187000,2,87979000,1,4
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,3,59,20896000,2,43564000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,2,47,42148000,5,46758000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,23,92874000,2,4285000,2,2
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,2,30,2317000,4,28561000,3,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,79,49513000,4,69780000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,36,47787000,5,31472000,2,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,1,55,21421000,5,44814000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,53,79418000,5,19014000,3,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,4,83,96855000,2,66712000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,40,99635000,5,61691000,1,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,3,57,70491000,3,3752000,2,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,4,31,2353000,5,35527000,1,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,3,66,17103000,4,16201000,3,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,52,33113000,3,44742000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,96,56353000,3,18529000,2,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,50,7404000,2,61104000,2,4
0.15,0.05,0.05,0.35,0.07,0.005,0.08,2,3,68,88073000,4,502000,3,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,95,82861000,5,49790000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,4,97,17363000,3,94730000,1,2
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,4,55,373000,5,39753000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,68,33054000,3,18252000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,92,38374000,4,62708000,2,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,4,35,57468000,3,67749000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,85,93303000,3,52785000,2,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,4,59,53338000,4,8750000,2,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,86,44555000,5,90450000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,63,21027000,4,17121000,3,1
0.08,0.16,0.21,0.15,0.05,0.075,0.35,2,4,71,79179000,5,21803000,3,3
0.06,0.15,0.18,0.21,0.05,0.065,0.35,2,4,78,3953000,1,12166000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,88,73917000,3,21208000,2,2
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,2,76,95302000,1,48956000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,1,32,47090000,2,48663000,2,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,51,15125000,1,30150000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,77,64045000,3,34433000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,65,95114000,4,89903000,2,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,2,98,95319000,3,34599000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,3,61,81871000,3,91168000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,30,98577000,3,95372000,1,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,3,34,76144000,3,38942000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,62,97391000,3,31554000,2,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,59,41804000,3,82527000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,2,84,86757000,1,14383000,3,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,2,71,83260000,4,14369000,1,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,1,52,33617000,1,81267000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,76,11194000,5,78564000,3,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,85,5103000,2,37197000,1,2
0.08,0.06,0.12,0.35,0.06,0.03,0.27,4,1,74,80164000,3,9909000,2,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,2,27,49070000,2,23154000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,38,8052000,4,49506000,3,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,2,50,59349000,5,46292000,3,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,2,27,71603000,1,4181000,3,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,86,32956000,5,93854000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,25,86034000,5,30973000,3,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,2,63,26392000,3,33480000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,57,89335000,4,65790000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,44,5938000,3,213000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,18,53215000,1,96222000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,91,2963000,4,9375000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,48,32554000,3,31079000,3,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,1,79,79155000,5,40412000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,94,62266000,2,74452000,2,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,3,72,42355000,4,32707000,3,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,1,92,79793000,5,57482000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,64,35421000,1,28004000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,34,46745000,2,43591000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,21,45118000,4,69969000,2,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,1,62,44015000,2,48506000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,94,77218000,3,90724000,2,4
0.08,0.16,0.21,0.15,0.05,0.075,0.35,4,1,79,97503000,3,23690000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,4,62,61536000,4,24314000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,49,96449000,4,36266000,2,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,1,59,68960000,3,70828000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,74,90055000,4,30249000,2,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,3,81,68899000,1,71216000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,95,18179000,3,61994000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,48,40325000,4,10039000,2,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,2,35,98486000,2,92947000,1,4
0.06,0.15,0.18,0.21,0.05,0.065,0.35,2,2,80,99469000,5,11995000,3,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,2,97,10112000,1,99911000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,52,15835000,1,92067000,3,3
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,1,66,59349000,3,53980000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,29,80867000,1,63020000,2,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,2,21,40419000,3,76460000,1,3
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,1,61,5843000,1,24379000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,2,86,75175000,3,50191000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,70,88268000,5,57230000,2,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,4,76,79688000,1,31205000,3,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,1,97,94283000,5,61787000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,57,69813000,3,8554000,2,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,32,526000,3,80463000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,88,40795000,4,56547000,1,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,1,32,1532000,3,68953000,2,4
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,1,82,21906000,5,85739000,3,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,2,89,82941000,2,80396000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,2,67,15877000,3,24207000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,50,57617000,2,15233000,3,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,3,94,91447000,4,35293000,1,4
0.08,0.16,0.21,0.15,0.05,0.075,0.35,2,1,92,66116000,3,12256000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,57,45134000,3,6019000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,84,63178000,2,39670000,2,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,1,54,51404000,1,22357000,1,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,34,1509000,1,3619000,1,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,1,29,79124000,3,57937000,2,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,4,19,94764000,3,69888000,1,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,2,99,44793000,5,94412000,2,1
0.08,0.16,0.21,0.15,0.05,0.075,0.35,4,2,89,30538000,1,22448000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,50,80819000,3,13254000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,4,60,21224000,4,29589000,1,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,85,143000,1,82957000,1,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,69,50580000,5,17023000,1,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,4,54,42623000,4,50746000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,42,28358000,4,54925000,3,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,4,58,8976000,5,98030000,2,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,41,79847000,4,27174000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,65,5874000,5,63427000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,95,87437000,1,68329000,2,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,1,62,65079000,3,53514000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,71,85134000,5,54321000,1,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,2,72,35196000,1,94906000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,4,47,98678000,4,76693000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,1,22,64173000,3,43968000,3,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,95,55228000,3,58076000,2,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,65,14741000,2,3564000,2,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,29,7263000,2,87685000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,72,3242000,3,53577000,1,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,81,1857000,1,3.1e+07,2,4
0.15,0.05,0.05,0.35,0.07,0.005,0.08,1,2,85,25009000,1,2211000,1,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,2,1,92,25739000,3,63176000,3,4
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,4,55,31281000,2,44677000,3,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,98,97199000,3,90568000,3,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,2,1,67,53291000,5,71574000,3,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,2,51,95582000,2,87355000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,28,30545000,2,79153000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,79,51120000,3,26751000,2,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,4,21,65830000,1,29855000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,62,43261000,4,29117000,2,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,2,55,58875000,3,94116000,1,4
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,1,37,45232000,4,38658000,3,4
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,4,30,11618000,2,53529000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,59,517000,4,78388000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,53,75398000,5,76803000,2,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,91,44536000,5,68859000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,3,25,96161000,4,92614000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,3,34,65284000,2,2852000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,57,69386000,4,47221000,3,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,3,43,9821000,4,94025000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,35,19010000,1,19291000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,96,84855000,5,50856000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,4,98,29978000,4,29987000,2,3
0.06,0.15,0.18,0.21,0.05,0.065,0.35,2,3,83,89879000,5,13694000,3,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,3,56,17231000,1,79925000,1,2
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,1,30,12072000,5,4237000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,98,16701000,2,79562000,3,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,1,85,4054000,2,71790000,2,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,28,32662000,5,35705000,1,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,3,64,65858000,3,21850000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,86,22613000,3,80633000,2,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,3,78,71222000,3,98286000,1,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,1,33,6567000,5,6745000,3,3
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,4,81,85127000,5,30914000,3,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,3,19,99585000,1,55582000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,69,68305000,4,52672000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,42,97104000,4,60870000,2,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,2,92,25605000,3,93327000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,18,64208000,4,35140000,2,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,97,4669000,4,97358000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,49,47471000,1,38325000,2,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,4,48,66236000,4,96846000,3,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,38,76994000,4,78128000,2,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,64,43995000,2,78765000,1,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,3,50,41555000,1,70969000,2,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,98,44771000,1,36844000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,73,39499000,3,73047000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,55,44991000,4,70152000,3,1
0.08,0.05,0.11,0.35,0.06,0.025,0.26,4,1,97,16999000,2,6294000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,69,13912000,2,48196000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,22,88733000,2,21875000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,46,80742000,2,65789000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,52,21519000,5,98569000,2,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,4,71,49450000,2,86361000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,2,77,45489000,1,69614000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,70,73508000,3,89785000,3,1
0.08,0.16,0.21,0.15,0.05,0.075,0.35,1,1,92,54400000,5,18887000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,93,66998000,2,68817000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,75,21075000,3,99958000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,1,27,84062000,3,11531000,3,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,53,61400000,4,16072000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,1,89,84609000,5,46913000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,32,20524000,2,27482000,2,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,4,25,59496000,1,16794000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,55,350000,4,42142000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,99,92512000,4,73788000,3,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,4,56,51087000,2,33407000,1,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,3,37,61698000,1,48980000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,49,51968000,3,73905000,1,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,3,45,29195000,2,72371000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,1,72,35942000,5,85866000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,1,71,76942000,4,14349000,3,1
0.08,0.16,0.21,0.15,0.05,0.075,0.35,1,3,91,91473000,1,19747000,3,3
0.08,0.06,0.12,0.35,0.06,0.03,0.27,1,3,66,70687000,3,4663000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,97,76308000,1,82180000,2,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,2,26,20615000,2,75722000,1,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,2,86,67729000,1,11276000,3,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,1,60,10410000,1,82259000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,3,42,11645000,4,95686000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,43,97947000,2,82447000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,1,50,61433000,3,25511000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,56,70749000,5,11358000,1,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,4,97,98236000,2,33198000,1,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,2,3,64,10456000,4,94536000,3,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,1,91,18229000,3,19957000,2,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,53,73597000,1,62765000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,35,77999000,1,4665000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,76,59200000,5,32370000,2,2
